,Type,age,breed,sex,presented,County,lon,lat,Diagnosis method
"On 22 December 2025, EGSF reported a case of chronic EGS in a five-year-old Irish Draught mare on a premises in Clackmannshire that presented on 3 December 2025. Positive diagnosis was confirmed on post-mortem examination with ganglia histopathology. There are no further details currently available on this case.",chronic,5,Irish Draught,mare,03 December 2025,Clackmannanshire,-3.75344,56.14724,post-mortem examination with ganglia histopathology
"On 21 November 2025, EGSF reported a case of chronic EGS affecting a Welsh Pony gelding on a premises in South Yorkshire that presented on 21 November 2025. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",chronic,,Welsh Pony ,gelding,21 November 2025,South Yorkshire,-1.298643,53.465418,clinical signs by a veterinary surgeon
"On 22 December 2025, EGSF reported a case of acute EGS affecting a six-year-old Cob gelding on a premises in Hertfordshire that presented on 7 November 2025. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",acute,6,Cob,gelding,07 November 2025,Hertfordshire,-0.27699,51.808788,clinical signs by a veterinary surgeon
"On 31 October 2025, EGSF reported a case of EGS affecting a seven-year-old Cob gelding on a premises in Gloucestershire that presented on 29 October 2025. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",,7,Cob,gelding,29 October 2025,Gloucestershire,-2.15235,51.81971,clinical signs by a veterinary surgeon
"On 11 November 2025, EGSF reported a case EGS affecting a seven-year-old Cob gelding on a premises in Gloucestershire that presented on 10 October 2025. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",,7,Cob,gelding,10 October 2025,Gloucestershire,-2.15235,51.81971,clinical signs by a veterinary surgeon
"On 9 October 2025, EGSF reported an acute case of EGS affecting a four-year-old Haflinger mare on a premises in Aberdeenshire that presented on 7 October 2025. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",acute,4,Haflinger,mare,07 October 2025,Aberdeenshire,-2.79205,57.23468,clinical signs by a veterinary surgeon
"On 9 October 2025, EGSF reported an acute case of EGS affecting a 10-year-old Welsh Section A mare on a premises in Staffordshire that presented on 5 October 2025 and died within 48 hours. There are no further details currently available on this case.",acute,10,Welsh Section A,mare,05 October 2025,Staffordshire,-2.02756,52.909302,
"On 9 October 2025, EGSF reported an acute case of EGS affecting a five-year-old Cob gelding on a premises in Merseyside that presented on 4 October 2025 and died within 48 hours. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",acute,5,Cob,gelding,04 October 2025,Merseyside,-2.9125,53.435587,clinical signs by a veterinary surgeon
"On 24 November 2025, EGSF reported a case of acute EGS affecting a six-year-old Cob mare on a premises in Fife that presented on 23 September 2025. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",acute,6,Cob,mare,23 September 2025,Fife,-2.98235,56.231171,clinical signs by a veterinary surgeon
"On 23 September 2025, EGSF reported an acute case of EGS on a premises in Clackmannanshire, affecting an 11-year-old Warmblood mare that presented on 18 September 2025 and died within 48 hours. Positive diagnosis was based on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",acute,11,Warmblood,mare,18 September 2025,Clackmannanshire,-3.75344,56.14724,clinical signs by a veterinary surgeon
"On 11 November 2025, EGSF reported a case of EGS affecting an 11-year-old Irish Sports Horse gelding on a premises in Clackmannanshire that presented on 11 September 2025. Positive diagnosis was confimed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",,11,Irish Sports Horse,gelding,11 September 2025,Clackmannanshire,-3.75344,56.14724,clinical signs by a veterinary surgeon
