Distance,Days,Matches,Percent
5,5,0,0.0
5,10,1,2.083333333333333
5,15,2,4.166666666666666
5,20,3,6.25
5,25,3,6.25
5,30,4,8.333333333333332
5,35,6,12.5
5,40,6,12.5
5,45,7,14.583333333333334
5,50,7,14.583333333333334
5,55,8,16.666666666666664
5,60,8,16.666666666666664
5,65,9,18.75
5,70,9,18.75
5,75,11,22.916666666666664
5,80,12,25.0
5,85,12,25.0
5,90,12,25.0
10,5,1,2.083333333333333
10,10,5,10.416666666666668
10,15,7,14.583333333333334
10,20,10,20.833333333333336
10,25,11,22.916666666666664
10,30,16,33.33333333333333
10,35,21,43.75
10,40,23,47.91666666666667
10,45,25,52.083333333333336
10,50,27,56.25
10,55,28,58.333333333333336
10,60,28,58.333333333333336
10,65,29,60.416666666666664
10,70,29,60.416666666666664
10,75,32,66.66666666666666
10,80,33,68.75
10,85,34,70.83333333333334
10,90,34,70.83333333333334
15,5,2,4.166666666666666
15,10,11,22.916666666666664
15,15,16,33.33333333333333
15,20,19,39.58333333333333
15,25,22,45.83333333333333
15,30,28,58.333333333333336
15,35,33,68.75
15,40,34,70.83333333333334
15,45,39,81.25
15,50,40,83.33333333333334
15,55,40,83.33333333333334
15,60,40,83.33333333333334
15,65,40,83.33333333333334
15,70,40,83.33333333333334
15,75,40,83.33333333333334
15,80,41,85.41666666666666
15,85,41,85.41666666666666
15,90,42,87.5
20,5,5,10.416666666666668
20,10,14,29.166666666666668
20,15,20,41.66666666666667
20,20,23,47.91666666666667
20,25,27,56.25
20,30,32,66.66666666666666
20,35,37,77.08333333333334
20,40,39,81.25
20,45,42,87.5
20,50,43,89.58333333333334
20,55,43,89.58333333333334
20,60,43,89.58333333333334
20,65,44,91.66666666666666
20,70,44,91.66666666666666
20,75,44,91.66666666666666
20,80,45,93.75
20,85,45,93.75
20,90,46,95.83333333333334
25,5,9,18.75
25,10,17,35.41666666666667
25,15,23,47.91666666666667
25,20,25,52.083333333333336
25,25,29,60.416666666666664
25,30,33,68.75
25,35,39,81.25
25,40,41,85.41666666666666
25,45,43,89.58333333333334
25,50,44,91.66666666666666
25,55,44,91.66666666666666
25,60,44,91.66666666666666
25,65,45,93.75
25,70,45,93.75
25,75,45,93.75
25,80,45,93.75
25,85,45,93.75
25,90,46,95.83333333333334
30,5,11,22.916666666666664
30,10,21,43.75
30,15,28,58.333333333333336
30,20,30,62.5
30,25,35,72.91666666666666
30,30,38,79.16666666666666
30,35,42,87.5
30,40,42,87.5
30,45,44,91.66666666666666
30,50,45,93.75
30,55,45,93.75
30,60,46,95.83333333333334
30,65,46,95.83333333333334
30,70,46,95.83333333333334
30,75,46,95.83333333333334
30,80,46,95.83333333333334
30,85,46,95.83333333333334
30,90,46,95.83333333333334
35,5,12,25.0
35,10,23,47.91666666666667
35,15,31,64.58333333333334
35,20,32,66.66666666666666
35,25,38,79.16666666666666
35,30,41,85.41666666666666
35,35,44,91.66666666666666
35,40,44,91.66666666666666
35,45,45,93.75
35,50,46,95.83333333333334
35,55,46,95.83333333333334
35,60,46,95.83333333333334
35,65,46,95.83333333333334
35,70,46,95.83333333333334
35,75,47,97.91666666666666
35,80,47,97.91666666666666
35,85,47,97.91666666666666
35,90,47,97.91666666666666
40,5,14,29.166666666666668
40,10,26,54.166666666666664
40,15,34,70.83333333333334
40,20,36,75.0
40,25,40,83.33333333333334
40,30,43,89.58333333333334
40,35,46,95.83333333333334
40,40,46,95.83333333333334
40,45,47,97.91666666666666
40,50,47,97.91666666666666
40,55,47,97.91666666666666
40,60,47,97.91666666666666
40,65,47,97.91666666666666
40,70,47,97.91666666666666
40,75,47,97.91666666666666
40,80,47,97.91666666666666
40,85,47,97.91666666666666
40,90,47,97.91666666666666
45,5,14,29.166666666666668
45,10,26,54.166666666666664
45,15,34,70.83333333333334
45,20,36,75.0
45,25,40,83.33333333333334
45,30,43,89.58333333333334
45,35,46,95.83333333333334
45,40,46,95.83333333333334
45,45,47,97.91666666666666
45,50,47,97.91666666666666
45,55,47,97.91666666666666
45,60,47,97.91666666666666
45,65,47,97.91666666666666
45,70,47,97.91666666666666
45,75,47,97.91666666666666
45,80,47,97.91666666666666
45,85,47,97.91666666666666
45,90,47,97.91666666666666
50,5,15,31.25
50,10,27,56.25
50,15,35,72.91666666666666
50,20,37,77.08333333333334
50,25,41,85.41666666666666
50,30,43,89.58333333333334
50,35,46,95.83333333333334
50,40,46,95.83333333333334
50,45,47,97.91666666666666
50,50,47,97.91666666666666
50,55,47,97.91666666666666
50,60,47,97.91666666666666
50,65,47,97.91666666666666
50,70,47,97.91666666666666
50,75,47,97.91666666666666
50,80,47,97.91666666666666
50,85,47,97.91666666666666
50,90,47,97.91666666666666
