time,latitude,longitude,number,expver,Axis_Type,PM25_Center,PM10_Center,PM25_In_Step1,PM10_In_Step1,PM25_Out_Step1,PM10_Out_Step1,PM25_In_Step2,PM10_In_Step2,PM25_Out_Step2,PM10_Out_Step2,PM25_In_Step3,PM10_In_Step3,PM25_Out_Step3,PM10_Out_Step3
2025-01-03 11:00:00,50.79999999999988,-4.2000000000000135,0,0001,1.0,3.3454006879524732e-09,4.456676981161036e-09,3.364570719255545e-09,4.515938345495224e-09,3.3454006879524732e-09,4.456676981161035e-09,3.3837407505586455e-09,4.575199709829502e-09,3.345400687952459e-09,4.456676981161024e-09,3.4029107818617457e-09,4.634461074163778e-09,3.2836420989688394e-09,4.411209943618621e-09
2025-01-03 16:00:00,50.49999999999988,-4.800000000000011,0,0001,1.0,4.9732727195704234e-09,5.8971814098644114e-09,4.9732727195695855e-09,5.8971814098638175e-09,4.857645813372464e-09,5.840552412076991e-09,4.437971555063644e-09,5.517313568977286e-09,4.742018907174485e-09,5.7839234142895594e-09,3.9026703905577005e-09,5.137445728090754e-09,4.6263920009765045e-09,5.727294416502128e-09
2025-01-03 16:00:00,50.49999999999988,-4.700000000000012,0,0001,1.0,5.0777587042495685e-09,5.98936389373282e-09,5.077758704248769e-09,5.989363893732246e-09,5.077758704249549e-09,5.98936389373281e-09,4.566497592099e-09,5.622879865422419e-09,4.9621317980515685e-09,5.932734895945378e-09,4.05523647994923e-09,5.256395837112593e-09,4.846504891853589e-09,5.876105898157946e-09
2025-01-03 17:00:00,56.39999999999996,-5.9000000000000075,0,0001,1.0,2.3585668695869763e-09,3.9213726895268385e-09,2.388795394131561e-09,3.9751274887498e-09,2.3585668695869746e-09,3.921372689526833e-09,2.4190239186761598e-09,4.028882287972788e-09,2.3425865564493945e-09,3.875131734017744e-09,2.4492524432207593e-09,4.082637087195776e-09,2.3266062433118148e-09,3.828890778508654e-09
2025-01-03 17:00:00,50.49999999999988,-4.800000000000011,0,0001,1.0,5.473266774988251e-09,6.361358328988332e-09,5.4732667749872505e-09,6.3613583289876e-09,5.299954267124489e-09,6.247569549663289e-09,4.832813438789151e-09,5.893343017297044e-09,5.1266417592606965e-09,6.133780770338225e-09,4.192360102591053e-09,5.425327705606488e-09,4.953329251396904e-09,6.0199919910131635e-09
2025-01-03 18:00:00,55.899999999999956,-4.500000000000012,0,0001,1.0,4.5321289707243165e-09,5.751617682125785e-09,4.5321289707243165e-09,5.751617682125784e-09,4.5321289707243165e-09,5.751617682125784e-09,3.965657576409982e-09,5.153367167026924e-09,4.340467613800193e-09,5.534431191111956e-09,3.3991861820953123e-09,4.555116651927692e-09,4.14880625687605e-09,5.317244700098106e-09
2025-01-03 18:00:00,55.899999999999956,-4.400000000000013,0,0001,1.0,4.944800818806636e-09,6.1725302646917865e-09,4.944800818806636e-09,6.172530264691787e-09,4.753139461882513e-09,5.955343773677959e-09,4.2880722271600105e-09,5.474400033983664e-09,4.561478104958352e-09,5.738157282664086e-09,3.631343635513001e-09,4.776269803275115e-09,4.369816748034191e-09,5.520970791650216e-09
2025-01-03 18:00:00,55.799999999999955,-4.600000000000012,0,0001,1.0,3.958859434716027e-09,5.25148302621392e-09,3.958859434716027e-09,5.251483026213919e-09,3.958859434716027e-09,5.251483026213919e-09,3.958859434716009e-09,5.251483026213882e-09,3.95885943471604e-09,5.2514830262139346e-09,3.4565551840054095e-09,4.693392108984368e-09,3.852000496351472e-09,5.1275486495638125e-09
2025-01-03 18:00:00,50.79999999999988,-4.500000000000012,0,0001,1.0,5.287420778988059e-09,6.3446912168532515e-09,5.119187559966061e-09,6.1720367705580785e-09,5.287420778988059e-09,6.3446912168532515e-09,4.950954340943813e-09,5.999382324262648e-09,5.230436000980781e-09,6.3204443900847695e-09,4.782721121921563e-09,5.826727877967216e-09,5.173451222973512e-09,6.29619756331631e-09
2025-01-03 21:00:00,55.99999999999996,-4.600000000000012,0,0001,1.0,4.521854862770982e-09,5.57926482791495e-09,3.906397734150975e-09,4.924293124306157e-09,4.521854862770982e-09,5.57926482791495e-09,3.2909406055306193e-09,4.269321420696993e-09,4.5218548627710036e-09,5.579264827914983e-09,2.6754834769102634e-09,3.6143497170878276e-09,4.405322967526528e-09,5.482652977450855e-09
