Distance,Days,Matches,Percent
5,5,0,0.0
5,10,0,0.0
5,15,1,2.083333333333333
5,20,2,4.166666666666666
5,25,2,4.166666666666666
5,30,4,8.333333333333332
5,35,5,10.416666666666668
5,40,5,10.416666666666668
5,45,6,12.5
5,50,6,12.5
5,55,6,12.5
5,60,6,12.5
5,65,8,16.666666666666664
5,70,9,18.75
5,75,9,18.75
5,80,9,18.75
5,85,10,20.833333333333336
5,90,10,20.833333333333336
10,5,2,4.166666666666666
10,10,3,6.25
10,15,4,8.333333333333332
10,20,6,12.5
10,25,7,14.583333333333334
10,30,11,22.916666666666664
10,35,15,31.25
10,40,16,33.33333333333333
10,45,18,37.5
10,50,18,37.5
10,55,18,37.5
10,60,19,39.58333333333333
10,65,21,43.75
10,70,21,43.75
10,75,21,43.75
10,80,21,43.75
10,85,22,45.83333333333333
10,90,23,47.91666666666667
15,5,2,4.166666666666666
15,10,3,6.25
15,15,5,10.416666666666668
15,20,10,20.833333333333336
15,25,13,27.083333333333332
15,30,18,37.5
15,35,23,47.91666666666667
15,40,24,50.0
15,45,24,50.0
15,50,24,50.0
15,55,26,54.166666666666664
15,60,27,56.25
15,65,28,58.333333333333336
15,70,29,60.416666666666664
15,75,29,60.416666666666664
15,80,30,62.5
15,85,31,64.58333333333334
15,90,32,66.66666666666666
20,5,3,6.25
20,10,5,10.416666666666668
20,15,8,16.666666666666664
20,20,13,27.083333333333332
20,25,16,33.33333333333333
20,30,20,41.66666666666667
20,35,26,54.166666666666664
20,40,27,56.25
20,45,27,56.25
20,50,28,58.333333333333336
20,55,30,62.5
20,60,30,62.5
20,65,31,64.58333333333334
20,70,32,66.66666666666666
20,75,32,66.66666666666666
20,80,32,66.66666666666666
20,85,32,66.66666666666666
20,90,33,68.75
25,5,4,8.333333333333332
25,10,9,18.75
25,15,11,22.916666666666664
25,20,17,35.41666666666667
25,25,20,41.66666666666667
25,30,25,52.083333333333336
25,35,30,62.5
25,40,31,64.58333333333334
25,45,31,64.58333333333334
25,50,32,66.66666666666666
25,55,33,68.75
25,60,33,68.75
25,65,35,72.91666666666666
25,70,35,72.91666666666666
25,75,35,72.91666666666666
25,80,35,72.91666666666666
25,85,35,72.91666666666666
25,90,36,75.0
30,5,4,8.333333333333332
30,10,9,18.75
30,15,14,29.166666666666668
30,20,19,39.58333333333333
30,25,25,52.083333333333336
30,30,30,62.5
30,35,33,68.75
30,40,35,72.91666666666666
30,45,35,72.91666666666666
30,50,35,72.91666666666666
30,55,36,75.0
30,60,36,75.0
30,65,38,79.16666666666666
30,70,38,79.16666666666666
30,75,39,81.25
30,80,39,81.25
30,85,39,81.25
30,90,40,83.33333333333334
35,5,5,10.416666666666668
35,10,13,27.083333333333332
35,15,18,37.5
35,20,22,45.83333333333333
35,25,29,60.416666666666664
35,30,33,68.75
35,35,35,72.91666666666666
35,40,37,77.08333333333334
35,45,37,77.08333333333334
35,50,37,77.08333333333334
35,55,38,79.16666666666666
35,60,38,79.16666666666666
35,65,40,83.33333333333334
35,70,40,83.33333333333334
35,75,41,85.41666666666666
35,80,41,85.41666666666666
35,85,41,85.41666666666666
35,90,41,85.41666666666666
40,5,6,12.5
40,10,14,29.166666666666668
40,15,19,39.58333333333333
40,20,23,47.91666666666667
40,25,29,60.416666666666664
40,30,33,68.75
40,35,35,72.91666666666666
40,40,37,77.08333333333334
40,45,38,79.16666666666666
40,50,38,79.16666666666666
40,55,38,79.16666666666666
40,60,38,79.16666666666666
40,65,40,83.33333333333334
40,70,40,83.33333333333334
40,75,41,85.41666666666666
40,80,41,85.41666666666666
40,85,41,85.41666666666666
40,90,41,85.41666666666666
45,5,9,18.75
45,10,17,35.41666666666667
45,15,22,45.83333333333333
45,20,27,56.25
45,25,31,64.58333333333334
45,30,35,72.91666666666666
45,35,37,77.08333333333334
45,40,39,81.25
45,45,39,81.25
45,50,39,81.25
45,55,39,81.25
45,60,39,81.25
45,65,41,85.41666666666666
45,70,41,85.41666666666666
45,75,42,87.5
45,80,42,87.5
45,85,42,87.5
45,90,42,87.5
50,5,11,22.916666666666664
50,10,17,35.41666666666667
50,15,22,45.83333333333333
50,20,27,56.25
50,25,31,64.58333333333334
50,30,35,72.91666666666666
50,35,37,77.08333333333334
50,40,39,81.25
50,45,39,81.25
50,50,39,81.25
50,55,39,81.25
50,60,39,81.25
50,65,41,85.41666666666666
50,70,41,85.41666666666666
50,75,42,87.5
50,80,42,87.5
50,85,42,87.5
50,90,42,87.5
