Distance_km,Days_Prior,Matches_EGS,Matches_CTRL,Pct_EGS,Pct_CTRL,Lift_Factor,P_Value,Significant
20.0,90.0,46.0,33.0,95.8%,68.8%,1.39x,0.0004317930380958161,YES
20.0,50.0,43.0,28.0,89.6%,58.3%,1.54x,0.00044575392487419965,YES
15.0,50.0,40.0,24.0,83.3%,50.0%,1.67x,0.0004991532586232442,YES
20.0,45.0,42.0,27.0,87.5%,56.2%,1.56x,0.0006150606331841061,YES
20.0,80.0,45.0,32.0,93.8%,66.7%,1.41x,0.0007862680076871414,YES
20.0,85.0,45.0,32.0,93.8%,66.7%,1.41x,0.0007862680076871414,YES
15.0,45.0,39.0,24.0,81.2%,50.0%,1.62x,0.0011819750744594694,YES
20.0,65.0,44.0,31.0,91.7%,64.6%,1.42x,0.001234900391076162,YES
20.0,60.0,43.0,30.0,89.6%,62.5%,1.43x,0.0017571113383291123,YES
20.0,55.0,43.0,30.0,89.6%,62.5%,1.43x,0.0017571113383291123,YES
40.0,35.0,46.0,35.0,95.8%,72.9%,1.31x,0.0018489263183434886,YES
15.0,55.0,40.0,26.0,83.3%,54.2%,1.54x,0.001902682487819511,YES
40.0,15.0,34.0,19.0,70.8%,39.6%,1.79x,0.001909470433232549,YES
25.0,50.0,44.0,32.0,91.7%,66.7%,1.38x,0.0024098899666188363,YES
20.0,75.0,44.0,32.0,91.7%,66.7%,1.38x,0.0024098899666188363,YES
20.0,70.0,44.0,32.0,91.7%,66.7%,1.38x,0.0024098899666188363,YES
25.0,45.0,43.0,31.0,89.6%,64.6%,1.39x,0.003340481710448634,YES
15.0,60.0,40.0,27.0,83.3%,56.2%,1.48x,0.00353734323059131,YES
30.0,15.0,28.0,14.0,58.3%,29.2%,2.00x,0.0035716958736771057,YES
25.0,90.0,46.0,36.0,95.8%,75.0%,1.28x,0.003691199582665463,YES
30.0,60.0,46.0,36.0,95.8%,75.0%,1.28x,0.003691199582665463,YES
40.0,45.0,47.0,38.0,97.9%,79.2%,1.24x,0.0038162515811970585,YES
40.0,50.0,47.0,38.0,97.9%,79.2%,1.24x,0.0038162515811970585,YES
40.0,60.0,47.0,38.0,97.9%,79.2%,1.24x,0.0038162515811970585,YES
40.0,55.0,47.0,38.0,97.9%,79.2%,1.24x,0.0038162515811970585,YES
25.0,60.0,44.0,33.0,91.7%,68.8%,1.33x,0.004574719245194429,YES
25.0,55.0,44.0,33.0,91.7%,68.8%,1.33x,0.004574719245194429,YES
40.0,20.0,36.0,23.0,75.0%,47.9%,1.57x,0.005686935034370071,YES
25.0,65.0,45.0,35.0,93.8%,72.9%,1.29x,0.005942866905725654,YES
25.0,70.0,45.0,35.0,93.8%,72.9%,1.29x,0.005942866905725654,YES
25.0,75.0,45.0,35.0,93.8%,72.9%,1.29x,0.005942866905725654,YES
25.0,80.0,45.0,35.0,93.8%,72.9%,1.29x,0.005942866905725654,YES
30.0,50.0,45.0,35.0,93.8%,72.9%,1.29x,0.005942866905725654,YES
25.0,85.0,45.0,35.0,93.8%,72.9%,1.29x,0.005942866905725654,YES
50.0,15.0,35.0,22.0,72.9%,45.8%,1.59x,0.006090074733231555,YES
15.0,15.0,16.0,5.0,33.3%,10.4%,3.20x,0.006169856608355393,YES
20.0,15.0,20.0,8.0,41.7%,16.7%,2.50x,0.006369815724532096,YES
15.0,65.0,40.0,28.0,83.3%,58.3%,1.43x,0.006369815724532096,YES
35.0,15.0,31.0,18.0,64.6%,37.5%,1.72x,0.0069319531898295,YES
45.0,35.0,46.0,37.0,95.8%,77.1%,1.24x,0.007190807482458556,YES
40.0,40.0,46.0,37.0,95.8%,77.1%,1.24x,0.007190807482458556,YES
50.0,35.0,46.0,37.0,95.8%,77.1%,1.24x,0.007190807482458556,YES
35.0,50.0,46.0,37.0,95.8%,77.1%,1.24x,0.007190807482458556,YES
30.0,10.0,21.0,9.0,43.8%,18.8%,2.33x,0.0073515516303921695,YES
20.0,40.0,39.0,27.0,81.2%,56.2%,1.44x,0.0073515516303921695,YES
45.0,45.0,47.0,39.0,97.9%,81.2%,1.21x,0.007716525010199762,YES
50.0,45.0,47.0,39.0,97.9%,81.2%,1.21x,0.007716525010199762,YES
45.0,60.0,47.0,39.0,97.9%,81.2%,1.21x,0.007716525010199762,YES
45.0,50.0,47.0,39.0,97.9%,81.2%,1.21x,0.007716525010199762,YES
45.0,55.0,47.0,39.0,97.9%,81.2%,1.21x,0.007716525010199762,YES
50.0,55.0,47.0,39.0,97.9%,81.2%,1.21x,0.007716525010199762,YES
50.0,50.0,47.0,39.0,97.9%,81.2%,1.21x,0.007716525010199762,YES
50.0,60.0,47.0,39.0,97.9%,81.2%,1.21x,0.007716525010199762,YES
25.0,15.0,23.0,11.0,47.9%,22.9%,2.09x,0.009130411194687892,YES
15.0,80.0,41.0,30.0,85.4%,62.5%,1.37x,0.009489598155597736,YES
30.0,55.0,45.0,36.0,93.8%,75.0%,1.25x,0.011060292639953359,YES
40.0,30.0,43.0,33.0,89.6%,68.8%,1.30x,0.01106920708092121,YES
10.0,85.0,34.0,22.0,70.8%,45.8%,1.55x,0.011112523481547528,YES
45.0,15.0,34.0,22.0,70.8%,45.8%,1.55x,0.011112523481547528,YES
40.0,10.0,26.0,14.0,54.2%,29.2%,1.86x,0.011112523481547532,YES
15.0,75.0,40.0,29.0,83.3%,60.4%,1.38x,0.011113858325221099,YES
15.0,70.0,40.0,29.0,83.3%,60.4%,1.38x,0.011113858325221099,YES
40.0,25.0,40.0,29.0,83.3%,60.4%,1.38x,0.011113858325221099,YES
